"beta_w","theta_1","beta_1","theta_i","beta_i","phi_1","eta_i","phi_i","chk11","chk21","chk22","chk31","chk32","chk33","logLike"
8.68150652856579,596.808990091155,14.4975845330581,2473.83994305426,203.229679147821,127.416596734677,0.4544685573773,76.6517734134157,6.39409800353911,-5.46579087041037,4.38802108760717,23.1133082452798,-7.69956644157951,34.4168161233194,-8009.70636026866
9.09721059494302,709.402363163112,18.6329882697608,3081.75769249625,256.869364559181,128.753316725308,0.446343823814553,77.2300427079818,6.4282222508234,-5.48498367619779,4.39195853139822,23.241714568695,-7.45199369352566,34.7014342752129,-7998.79263703474
9.55243639062156,762.834386334423,20.9754455423055,3432.42715049501,288.641037839113,129.413207055148,0.438492554990318,77.7334067190541,6.49417260780793,-5.53162644952145,4.40269117585954,23.3475201265829,-7.60035199586984,35.0374564815047,-7994.85233713006
10.2879279270688,803.474144610962,23.4826143241612,3818.29230750304,324.618019973232,130.293987047462,0.426051227184554,77.5805590608862,6.59051071324876,-5.59473375725328,4.41947319102675,23.5886570960001,-7.96641881203116,35.4931359296799,-7992.766566541
10.8127570936868,810.232161282667,24.181960417103,3916.81454266068,334.406535941875,130.806216401622,0.431764478070378,78.8272922602501,6.62643709559993,-5.62954668846615,4.42795260863209,23.7765441360167,-8.14105900601306,35.7337088516324,-7992.50153653557
11.0093071143235,799.569196363636,24.1412780988065,3911.60439782712,334.627383702013,131.046853974302,0.432056933815278,78.7963663325457,6.64299925770458,-5.65031622377482,4.43153165048345,23.8935904627631,-8.20281038808452,35.927626411802,-7992.37241715406
11.077109495844,792.445979891706,23.9667886575969,3875.25112864427,331.742670865957,131.19125181796,0.434547475407127,79.00229251533,6.6436894262314,-5.65612447630137,4.43330297690891,24.0156218853504,-8.24030948522724,36.0782155754112,-7992.31414527338
11.073920820704,792.563059233909,23.9283741132024,3876.53760353585,331.690629812134,131.373073739297,0.436289932569395,79.171821336761,6.63832500459506,-5.65349520350505,4.43176346642642,24.0979268907909,-8.24617716198572,36.1362327391854,-7992.29727644888
11.0423371641598,795.762583037482,23.9414563944158,3877.8464186999,331.613702087261,131.514975295075,0.437276899885734,79.357659142801,6.63338860757531,-5.6491143253013,4.43102345751333,24.1252153992539,-8.24490623443583,36.1590218756262,-7992.29330703808
11.0272802551718,798.237031191985,23.9664732499697,3885.283868773,332.088598454639,131.615051292452,0.43759251492661,79.4739066877014,6.63196647214865,-5.64780012692323,4.43021950537282,24.129134090859,-8.24067242665507,36.1608737535512,-7992.29245053393
11.0195913499547,799.862120044331,23.9846983814095,3888.13492013147,332.253958984017,131.679540922918,0.437666834679109,79.5494257660414,6.63171787025556,-5.64719934413253,4.4301417570618,24.1224435235741,-8.23832806553863,36.1589044851672,-7992.29219601167
11.0197114131848,800.35972524434,23.9906237142469,3889.74017835573,332.360374690832,131.706590121341,0.437635602258221,79.579282006335,6.63202878764138,-5.64735924651239,4.43018824978222,24.1167224406321,-8.23723259469397,36.1567500225981,-7992.29213545453
11.0218435555709,800.379546086681,23.9915294603858,3889.77865461308,332.36617018173,131.713140360056,0.437601281747212,79.5853648851094,6.63229611193222,-5.64751524937271,4.43034609126284,24.1142986058605,-8.23731534847212,36.1558081154084,-7992.2921225455
11.0233545513628,800.30509150705,23.9908127859994,3889.83594204441,332.374698751103,131.713943591424,0.437584862938361,79.5855918361528,6.63239395198609,-5.64759334117901,4.43043357064798,24.1134905765426,-8.23762535140946,36.1556699239172,-7992.29211852189
11.0249071694507,800.221051314829,23.9900605992638,3889.92130321471,332.387059202817,131.71422604217,0.437570544690976,79.5851369462472,6.63247810551632,-5.64765781948564,4.43052796471193,24.1131427973004,-8.23795171463558,36.1556289224626,-7992.29211518419
11.0263669783535,800.13790917008,23.9892507125047,3890.10187995112,332.407478747601,131.714420391231,0.437557623878348,79.5846227352708,6.63254292393215,-5.64770714158409,4.430620895617,24.1128363079367,-8.23832635786533,36.1556519286499,-7992.29211203205
11.0278474680743,800.051779551816,23.9883938537708,3890.37244607265,332.436096628619,131.714543335075,0.437544106475892,79.5839701782851,6.63260758444347,-5.64775643242888,4.43071750628564,24.1126102465276,-8.23870812030094,36.155685928665,-7992.2921088709
11.0292693781598,799.968719232304,23.9875595599999,3890.73332055657,332.472547242242,131.714654734655,0.437531070709316,79.5833284713391,6.6326660798616,-5.64780008460566,4.43081104358485,24.1124003454338,-8.23907925215133,36.1557290747635,-7992.29210578916
11.0246170467017,799.931460541564,23.9824058985785,3913.41185487174,334.482999855199,131.709440584093,0.437464450003538,79.5752405579718,6.63248973683157,-5.64755056854879,4.43131985524107,24.1151426548021,-8.23873895073049,36.1549420754439,-7992.29189713523
11.027003229068,799.949440078413,23.9859632614572,3910.44164703953,334.228129091335,131.704451054054,0.437466098018801,79.5694211900091,6.63256505520471,-5.64778925342938,4.43078770446794,24.1154443618293,-8.23730726873245,36.1558928601274,-7992.29186882212
11.02531391332,799.906784299135,23.9830600109536,3912.34484525093,334.399312989333,131.704187061672,0.437434831756418,79.5675693376986,6.63247163790982,-5.64765390140382,4.43070029000553,24.1150338596355,-8.23706687503409,36.1560443065804,-7992.29186059432
11.0265064732794,799.923276061293,23.9845666893217,3912.32852209114,334.401039266089,131.704035506063,0.437451314774779,79.5690428582119,6.6325056736953,-5.64771987983705,4.43055330058019,24.115446971275,-8.23664690158804,36.1560670175757,-7992.29185777923
11.0260419861256,799.892476729194,23.9834388447107,3912.69602746806,334.435221856895,131.703619353772,0.437435643691351,79.5670762081345,6.63247553578389,-5.64768496033404,4.43050308819473,24.1152418638994,-8.2364931119603,36.1561143986399,-7992.29185675847
