"Phi_1","thw_1","th1_1","th2_1","chk11_1","chk21_1","chk22_1","chk31_1","chk32_1","chk33_1","Phi_2","thw_2","th1_2","th2_2","chk11_2","chk21_2","chk22_2","chk31_2","chk32_2","chk33_2","asc_2","x_female_2","x_older45_2","logLike"
0.186107932848358,0.312271876876404,0.722344057751542,0.277188221054685,6.30274352718872,-5.21469368172694,4.77779171848376,-1.08873318516228,-4.78313940052214,0.111948658280471,1.87855162218194,-1.88340048790432,-3.43158394254856,9.21518610907912,6.31633443399453,0.102090393033405,3.65029059982442,-6.31374046072,1.68427933861215,0.0568720869159963,-37.5199790537012,-19.7933286303041,-30.8634132427908,-3823.32079213122
0.185944766852348,0.312315335663262,0.722380671704055,0.277355543994185,6.30246373257815,-5.21508368754177,4.77780678382868,-1.09064559163078,-4.78308107663142,0.112057739445714,1.87855162218194,-1.88340048790432,-3.43158394254856,9.21518610907912,6.31633443399453,0.102090393033405,3.65029059982442,-6.31374046072,1.68427933861215,0.0568720869159963,-37.5199790537012,-19.7933286303041,-30.8634132427908,-3821.01416533903
0.186091673373443,0.312109251387767,0.722442907693258,0.277135554137376,6.30605742083785,-5.21522733425601,4.77778438191489,-1.09194267371027,-4.7836147538788,0.110686891924327,1.87855162218194,-1.88340048790432,-3.43158394254856,9.21518610907912,6.31633443399453,0.102090393033405,3.65029059982442,-6.31374046072,1.68427933861215,0.0568720869159963,-37.5199790537012,-19.7933286303041,-30.8634132427908,-3820.21626883113
0.185535680605286,0.312279216567847,0.722489220579336,0.27733458199792,6.30593693715852,-5.21558216932367,4.77787443735525,-1.09389875174779,-4.78325590937124,0.111084445603448,1.87855162218194,-1.88340048790432,-3.43158394254856,9.21518610907912,6.31633443399453,0.102090393033405,3.65029059982442,-6.31374046072,1.68427933861215,0.0568720869159963,-37.5199790537012,-19.7933286303041,-30.8634132427908,-3819.37716555787
0.185627092002365,0.312693447449787,0.722460236201416,0.277191398284382,6.30629184419792,-5.21521521291562,4.77787144786438,-1.09217293818828,-4.78327369837471,0.109818361486974,1.87855162218194,-1.88340048790432,-3.43158394254856,9.21518610907912,6.31633443399453,0.102090393033405,3.65029059982442,-6.31374046072,1.68427933861215,0.0568720869159963,-37.5199790537012,-19.7933286303041,-30.8634132427908,-3817.5576717094
0.184770903004775,0.313656044059375,0.722546039402398,0.277242116080658,6.30906622581705,-5.21542361805029,4.77815279287234,-1.09621976217314,-4.78237964093586,0.109867597586838,1.87855162218194,-1.88340048790432,-3.43158394254856,9.21518610907912,6.31633443399453,0.102090393033405,3.65029059982442,-6.31374046072,1.68427933861215,0.0568720869159963,-37.5199790537012,-19.7933286303041,-30.8634132427908,-3816.88811495982
0.185357349633718,0.313728507369504,0.722514505313618,0.27705956486651,6.30951285456681,-5.21517870498271,4.77805370487472,-1.09506225279423,-4.78282127602298,0.108392879650655,1.87855162218194,-1.88340048790432,-3.43158394254856,9.21518610907912,6.31633443399453,0.102090393033405,3.65029059982442,-6.31374046072,1.68427933861215,0.0568720869159963,-37.5199790537012,-19.7933286303041,-30.8634132427908,-3816.40904497767
0.18525832786919,0.313476097044315,0.722545035873275,0.277198382736718,6.30930069204846,-5.21548331829098,4.77806678311778,-1.09655354738556,-4.78277105357579,0.108552932881298,1.87855162218194,-1.88340048790432,-3.43158394254856,9.21518610907912,6.31633443399453,0.102090393033405,3.65029059982442,-6.31374046072,1.68427933861215,0.0568720869159963,-37.5199790537012,-19.7933286303041,-30.8634132427908,-3814.83928988409
0.185735685958012,0.312539166430857,0.722599351511789,0.277024781978495,6.31226407741508,-5.21563750471568,4.77803393441098,-1.09779602897021,-4.78328148195793,0.10755224480531,1.87855162218194,-1.88340048790432,-3.43158394254856,9.21518610907912,6.31633443399453,0.102090393033405,3.65029059982442,-6.31374046072,1.68427933861215,0.0568720869159963,-37.5199790537012,-19.7933286303041,-30.8634132427908,-3814.30420809578
0.185050949210054,0.312809554943097,0.722642653914552,0.277183654235419,6.31245067402398,-5.21587829810896,4.77819132998592,-1.09943540130072,-4.78266269890202,0.107960374687918,1.87855162218194,-1.88340048790432,-3.43158394254856,9.21518610907912,6.31633443399453,0.102090393033405,3.65029059982442,-6.31374046072,1.68427933861215,0.0568720869159963,-37.5199790537012,-19.7933286303041,-30.8634132427908,-3814.01212224175
