"theta_w","beta_w","lbeta_1","phi_1","chk11","chk21","chk22","logLike"
5104.03796485139,9.35174966477491,3.97856995508989,335.385473522019,6.51312053673076,47.6410110093612,53.8391855651931,-6254.56422538062
5388.3941817453,12.5707078630416,4.00166414094364,338.890674019347,6.5932003372312,48.9074672145357,55.0753139553576,-6248.2877755445
5612.67039441662,16.2253403300429,4.01408428731094,340.878329792039,6.67218732627853,50.2684661657811,56.0135369080832,-6245.41521771595
5773.11106790709,19.1048247633483,4.02034519827182,341.833939523806,6.68933113424759,50.8785469391918,56.6166785198303,-6244.48300620855
5859.31355186319,20.7575753536175,4.02364255656801,342.265548432846,6.7099021813976,51.4550597442043,56.8379019592765,-6244.29600045075
5906.61235069585,21.3798955242886,4.0266712890909,342.432525439573,6.70767221044402,51.6021822278194,56.8932651344903,-6244.25230242299
5960.81334482875,21.937319312955,4.03116071127543,342.585120479292,6.70692344500083,51.7807578140031,56.9072259055101,-6244.21672343611
6027.23891776774,22.4660665719861,4.03751320344053,342.741566543802,6.70457413296671,51.952235282067,56.8927186212179,-6244.18393734557
6099.27983840857,22.9172590175875,4.04507847944866,342.885308798468,6.70186099950193,52.1075424533016,56.8515495023026,-6244.15547644206
6176.60887341841,23.2952626036304,4.05374998552888,343.010664005634,6.69865277656661,52.2450671025094,56.7839313086297,-6244.1297464388
6249.53270124646,23.5566879404215,4.06239277350521,343.09296955608,6.69527970130293,52.3494035048004,56.6946635012877,-6244.10712120709
6313.40435859067,23.6959949642675,4.07038383023519,343.116088829628,6.69182601619239,52.4178094850755,56.5859979414727,-6244.08630596325
6362.09058638032,23.708164800262,4.0769086048085,343.067720770549,6.68850828306913,52.4455606655961,56.4672187676228,-6244.06720831682
6395.9685039778,23.6069721618926,4.08195485265285,342.949356456024,6.68542371021404,52.4349168828598,56.3449683265166,-6244.04959283326
6415.44317708925,23.4129170773136,4.08548678521333,342.779736231895,6.68292546407545,52.3899580356607,56.2336588647353,-6244.03405035476
6423.92665020488,23.1452571614008,4.08788444790636,342.579439013366,6.68122941986915,52.3175144028809,56.1392685009005,-6244.02025922989
6423.29536279169,22.834257444886,4.08926953181516,342.377871251215,6.68058208739657,52.2279138775759,56.070307673475,-6244.00824290589
6415.2646312999,22.4966351590798,4.08980152758926,342.189019483456,6.68098572290795,52.1274957964365,56.0273502742616,-6243.99752379416
6401.22976763616,22.1667688332846,4.08950665080109,342.031659173621,6.68234069095031,52.0270560177358,56.0122924586988,-6243.9881626681
6382.29668849426,21.8614494591022,4.08844898970666,341.908619454915,6.68444642563283,51.9316491316647,56.0223684868927,-6243.97992495765
6360.52402482178,21.6108850398907,4.08675059710013,341.824853736752,6.68696651896209,51.8503891079083,56.0532975026686,-6243.97292925231
6337.2759751614,21.423803267365,4.08454186942065,341.774353760417,6.68963786030364,51.7859417686022,56.0994477918105,-6243.96699432752
6314.94882865468,21.3122699005687,4.08207621956778,341.752193614634,6.69211507163907,51.7426210839118,56.153081387133,-6243.96213275097
6294.83875123267,21.2722425767549,4.07954121088436,341.749970615054,6.69422147627343,51.7198385025547,56.2084603850307,-6243.95816003899
6278.90197228232,21.2974197946666,4.07722931004965,341.760382207803,6.69575375551174,51.7169201982852,56.2583889353215,-6243.95502937946
6267.99614421038,21.3735600230085,4.07532813480737,341.776347645372,6.6966650055269,51.7304754113929,56.2986975040012,-6243.95259257572
